recorded_at,node_id,node_name,zone_name,node_type,node_status,is_online,last_ping,active_alert_count,temperature,humidity,pressure,vibration,gas_level
"2026-04-23T02:05:01.300Z","69e8e4bf3166735dbdf5fed2","TC-06-NODE-1","Salle B0","SRV","warning","true","2026-04-23T09:13:57.332Z","1","22.973131008839715","51.24640606761411","783.0538555729711","0.22552315060134015","82.8304336874616"
"2026-04-23T02:05:01.300Z","69e8e4bf3166735dbdf5fed8","TC-12-NODE-1","Salle Energies","UPS","normal","true","2026-04-23T09:14:09.641Z","0","23.38786599788979","51.11476954079658","615.0304730508777","0.20128608286845423","87.09341977981025"
"2026-04-23T02:05:01.300Z","69e8e4bf3166735dbdf5fed4","TC-08-NODE-1","Salle B0","SRV","warning","true","2026-04-23T09:14:01.525Z","1","22.1023633719492","44.73506122589112","740.9068681560486","0.30933044069355314","87.03902586118609"
"2026-04-23T02:05:01.300Z","69e8e4bf3166735dbdf5fed7","TC-11-NODE-1","Salle B0","SRV","normal","true","2026-04-23T09:14:07.747Z","0","24.92211166679351","43.859120483758964","854.7245946145844","0.30048690907630227","86.86404613141973"
"2026-04-23T02:05:01.300Z","69e8e4bf3166735dbdf5fed6","TC-10-NODE-1","Salle B0","SRV","warning","true","2026-04-23T09:14:05.710Z","1","21.7898239862458","49.429937127450245","624.003144519193","0.14816069888376618","86.27075102608367"
"2026-04-23T02:05:01.300Z","69e8e4bf3166735dbdf5fed5","TC-09-NODE-1","Salle B0","SRV","normal","true","2026-04-23T09:14:03.822Z","0","21.485215945212424","45.67713694537555","633.8878590052327","0.29653374102940405","85.75473442904378"
"2026-04-23T02:05:01.300Z","69e8e4bf3166735dbdf5fedb","TC-15-NODE-1","Salle D","SRV","normal","true","2026-04-23T09:14:15.722Z","0","20.734862448672043","44.833219681369386","808.0182241952763","0.17607059198093342","86.85777830062095"
"2026-04-23T02:05:01.300Z","69e8e4bf3166735dbdf5feda","TC-14-NODE-1","Salle D","SRV","warning","true","2026-04-23T09:14:13.427Z","1","24.756203734588627","56.654603499519006","762.6356456883684","0.10748371663007174","90.20631014288693"
"2026-04-23T02:05:01.300Z","69e8e4bf3166735dbdf5fee0","TC-20-NODE-1","Salle A0","SRV","normal","true","2026-04-23T09:13:08.964Z","0","23.691968358283756","52.974679924878735","738.1491005953721","0.1727225456101363","87.34590687016109"
"2026-04-23T02:05:01.300Z","69e8e4bf3166735dbdf5fed9","TC-13-NODE-1","Salle Batteries","UPS","normal","true","2026-04-23T09:14:11.539Z","0","21.88813754308243","52.503396359235964","729.7063054376871","0.09311971048132926","89.44806815048148"
